episode,raw,roll10
1,-12.798407,-12.798407
2,-5.821000,-9.309704
3,-1.727524,-6.782310
4,-15.780907,-9.031959
5,-4.596579,-8.144883
6,-5.260381,-7.664133
7,-5.509042,-7.356263
8,-16.946109,-8.554994
9,-18.091199,-9.614572
10,-9.550087,-9.608123
11,-0.903086,-8.418591
12,-11.097129,-8.946204
13,-4.943947,-9.267847
14,-8.329088,-8.522665
15,3.969301,-7.666077
16,6.803327,-6.459706
17,-4.500721,-6.358874
18,9.281596,-3.736103
19,-10.668225,-2.993806
20,6.485012,-1.390296
21,8.504988,-0.449489
22,-6.795073,-0.019283
23,6.040430,1.079155
24,3.443067,2.256370
25,12.787518,3.138192
26,-2.984023,2.159457
27,4.893776,3.098907
28,13.043917,3.475139
29,8.294686,5.371430
30,1.652374,4.888166
31,-2.744169,3.763250
32,16.731295,6.115887
33,7.084356,6.220280
34,19.167928,7.792766
35,0.955282,6.609542
36,16.296224,8.537567
37,16.906505,9.738840
38,19.832762,10.417724
39,0.563481,9.644604
40,8.933890,10.372755
41,2.453614,10.892534
42,18.429656,11.062370
43,10.251765,11.379111
44,24.120300,11.874348
45,11.815763,12.960396
46,21.160931,13.446867
47,23.768028,14.133019
48,10.482351,13.197978
49,18.021214,14.943751
50,27.376489,16.788011
51,18.445573,18.387207
52,15.303400,18.074581
53,13.801626,18.429568
54,25.755902,18.593128
55,13.221342,18.733686
56,22.790943,18.896687
57,22.248579,18.744742
58,22.721502,19.968657
59,13.909026,19.557438
60,26.061244,19.425914
61,32.246009,20.805957
62,19.604356,21.236053
63,20.398393,21.895730
64,33.592574,22.679397
65,26.815312,24.038794
66,20.583630,23.818063
67,15.294095,23.122614
68,32.140804,24.064544
69,23.711750,25.044817
70,26.817170,25.120409
71,23.015994,24.197408
72,31.427684,25.379741
73,34.012884,26.741190
74,25.263638,25.908296
75,20.569335,25.283698
76,41.095769,27.334912
77,39.872316,29.792734
78,20.768345,28.655489
79,33.185610,29.602874
80,36.322637,30.553421
81,30.551479,31.306970
82,38.233224,31.987524
83,43.702431,32.956478
84,36.016517,34.031766
85,32.092170,35.184050
86,28.223528,33.896826
87,29.889680,32.898562
88,28.112809,33.633008
89,27.658362,33.080284
90,30.333705,32.481390
91,44.614945,33.887737
92,38.330760,33.897491
93,44.650234,33.992271
94,47.607718,35.151391
95,45.620473,36.504221
96,29.288143,36.610683
97,48.986310,38.520346
98,31.069087,38.815974
99,46.399002,40.690038
100,48.302274,42.486895
101,44.714884,42.496889
102,39.535101,42.617323
103,32.705287,41.422828
104,33.326835,39.994740
105,45.852793,40.017972
106,37.561246,40.845282
107,44.345737,40.381225
108,38.860061,41.160322
109,37.007384,40.221160
110,40.292741,39.420207
111,50.127487,39.961467
112,45.271057,40.535063
113,43.580658,41.622600
114,46.018747,42.891791
115,47.878044,43.094316
116,47.407222,44.078914
117,46.223843,44.266724
118,58.082937,46.189012
119,53.704367,47.858710
120,42.569328,48.086369
121,44.893019,47.562922
122,42.404813,47.276298
123,46.618794,47.580111
124,39.588588,46.937095
125,55.696819,47.718973
126,52.162774,48.194528
127,49.317656,48.503909
128,60.021753,48.697791
129,47.944059,48.121760
130,53.784014,49.243229
131,61.851384,50.939065
132,53.965261,52.095110
133,55.559490,52.989180
134,50.504777,54.080799
135,64.701785,54.981295
136,59.680793,55.733097
137,50.079224,55.809254
138,51.555151,54.962594
139,57.073305,55.875519
140,55.794549,56.076572
141,56.219885,55.513422
142,49.253865,55.042283
143,58.012291,55.287563
144,61.150775,56.352162
145,62.809057,56.162890
146,56.179117,55.812722
147,56.406745,56.445474
148,58.008084,57.090767
149,59.020168,57.285454
150,57.977401,57.503739
151,48.099899,56.691740
152,53.932041,57.159558
153,70.169612,58.375290
154,66.916399,58.951852
155,59.317352,58.602682
156,65.874755,59.572246
157,54.273126,59.358884
158,55.796150,59.137690
159,61.597289,59.395402
160,65.883333,60.185996
161,51.393013,60.515307
162,61.450385,61.267141
163,71.291057,61.379286
164,65.109731,61.198619
165,73.769326,62.643816
166,54.372095,61.493550
167,72.468259,63.313064
168,71.178250,64.851274
169,53.605880,64.052133
170,65.108604,63.974660
171,70.279648,65.863323
172,58.730879,65.591373
173,68.399056,65.302173
174,73.092650,66.100465
175,72.114022,65.934934
176,64.329693,66.930694
177,56.457541,65.329622
178,67.296824,64.941480
179,59.832424,65.564134
180,67.804242,65.833698
181,62.137064,65.019440
182,64.105615,65.556913
183,68.680583,65.585066
184,75.001674,65.775968
185,78.678676,66.432434
186,66.392768,66.638741
187,57.883163,66.781303
188,74.469255,67.498546
189,65.674721,68.082776
190,75.122586,68.814610
191,76.969814,70.297885
192,59.675804,69.854904
193,75.256222,70.512468
194,65.682447,69.580545
195,66.729325,68.385610
196,67.242185,68.470552
197,71.967364,69.878972
198,65.707576,69.002804
199,71.465804,69.581913
200,67.050580,68.774712
201,63.788684,67.456599
202,66.773875,68.166406
203,76.481393,68.288923
204,68.557186,68.576397
205,66.356336,68.539098
206,70.214705,68.836350
207,67.093188,68.348933
208,84.271959,70.205371
209,80.151299,71.073921
210,66.385917,71.007454
211,69.729700,71.601556
212,73.070436,72.231212
213,75.312217,72.114294
214,72.452789,72.503855
215,75.631607,73.431382
216,81.051470,74.515058
217,67.928870,74.598626
218,77.048217,73.876252
219,68.570223,72.718145
220,76.922746,73.771828
221,72.337755,74.032633
222,83.234314,75.049021
223,85.148764,76.032675
224,87.014529,77.488849
225,75.124069,77.438096
226,79.933554,77.326304
227,70.272619,77.560679
228,82.414639,78.097321
229,84.070559,79.647355
230,76.542525,79.609333
231,74.418167,79.817374
232,84.210251,79.914968
233,84.231120,79.823203
234,85.497838,79.671534
235,74.452456,79.604373
236,73.626266,78.973644
237,73.989596,79.345342
238,72.863181,78.390196
239,68.999300,76.883070
240,71.721580,76.400976
241,80.050100,76.964169
242,78.863528,76.429496
243,89.144626,76.920847
244,78.071483,76.178212
245,73.676119,76.100578
246,90.584783,77.796430
247,71.883819,77.585852
248,77.931840,78.092718
249,87.430478,79.935835
250,77.873618,80.551039
251,92.183036,81.764333
252,87.504030,82.628383
253,78.099949,81.523915
254,90.481786,82.764946
255,91.933441,84.590678
256,83.129601,83.845160
257,75.146060,84.171384
258,74.443212,83.822521
259,90.312087,84.110682
260,92.016221,85.524942
261,87.028775,85.009516
262,89.830164,85.242130
263,90.426302,86.474765
264,78.342404,85.260827
265,77.975455,83.865028
266,92.529885,84.805057
267,92.062763,86.496727
268,83.351076,87.387513
269,79.855948,86.341899
270,75.797496,84.720027
271,83.116058,84.328755
272,94.368848,84.782624
273,78.997164,83.639710
274,81.622475,83.967717
275,75.597799,83.729951
276,87.488496,83.225812
277,76.443039,81.663840
278,90.116345,82.340367
279,86.239956,82.978768
280,84.870752,83.886093
281,81.411030,83.715590
282,82.506895,82.529395
283,95.639967,84.193675
284,96.832450,85.714673
285,92.821127,87.437006
286,81.103963,86.798552
287,81.135660,87.267815
288,84.678582,86.724038
289,96.104746,87.710517
290,97.716511,88.995093
291,82.170473,89.071037
292,91.182125,89.938560
293,85.736511,88.948215
294,87.539335,88.018903
295,81.998503,86.936641
296,93.658374,88.192082
297,95.121355,89.590652
298,98.715759,90.994369
299,88.830409,90.266936
300,88.026075,89.297892
301,92.656106,90.346455
302,81.454671,89.373710
303,98.020209,90.602080
304,95.716839,91.419830
305,83.957793,91.615759
306,87.913719,91.041294
307,89.890819,90.518240
308,98.064073,90.453071
309,94.686243,91.038655
310,84.830257,90.719073
311,100.615892,91.515052
312,100.270211,93.396606
313,98.804581,93.475043
314,90.891879,92.992547
315,90.582832,93.655051
316,89.234417,93.787120
317,101.919056,94.989944
318,91.118848,94.295422
319,101.752231,95.002020
320,84.806197,94.999614
321,81.540953,93.092121
322,91.376576,92.202757
323,85.476429,90.869942
324,86.861071,90.466861
325,82.121159,89.620694
326,84.178278,89.115080
327,91.257007,88.048875
328,83.589450,87.295935
329,88.293846,85.950097
330,95.358219,87.005299
331,87.711088,87.622312
332,88.950676,87.379722
333,90.533396,87.885419
334,88.107296,88.010041
335,94.815915,89.279517
